cod_dsei,Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,241,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,263,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,273,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,267,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,281,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,278,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,251,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,245,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,239,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,282,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,272,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,277,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,258,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,272,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,294,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,15,Estimado em dados da saúde indígena,Provisório,2020,255,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,16,Estimado em dados da saúde indígena,Provisório,2020,290,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,17,Estimado em dados da saúde indígena,Provisório,2020,273,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,18,Estimado em dados da saúde indígena,Provisório,2020,294,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,19,Estimado em dados da saúde indígena,Provisório,2020,267,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,20,Estimado em dados da saúde indígena,Provisório,2020,241,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,21,Estimado em dados da saúde indígena,Provisório,2020,232,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,22,Estimado em dados da saúde indígena,Provisório,2020,215,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,23,Estimado em dados da saúde indígena,Provisório,2020,194,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,24,Estimado em dados da saúde indígena,Provisório,2020,216,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,25,Estimado em dados da saúde indígena,Provisório,2020,200,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,26,Estimado em dados da saúde indígena,Provisório,2020,183,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,27,Estimado em dados da saúde indígena,Provisório,2020,185,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,28,Estimado em dados da saúde indígena,Provisório,2020,164,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,29,Estimado em dados da saúde indígena,Provisório,2020,192,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,30,Estimado em dados da saúde indígena,Provisório,2020,173,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,31,Estimado em dados da saúde indígena,Provisório,2020,202,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,32,Estimado em dados da saúde indígena,Provisório,2020,183,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,33,Estimado em dados da saúde indígena,Provisório,2020,179,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,34,Estimado em dados da saúde indígena,Provisório,2020,196,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,35,Estimado em dados da saúde indígena,Provisório,2020,182,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,36,Estimado em dados da saúde indígena,Provisório,2020,175,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,37,Estimado em dados da saúde indígena,Provisório,2020,169,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,38,Estimado em dados da saúde indígena,Provisório,2020,156,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,39,Estimado em dados da saúde indígena,Provisório,2020,182,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,40,Estimado em dados da saúde indígena,Provisório,2020,165,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,41,Estimado em dados da saúde indígena,Provisório,2020,158,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,42,Estimado em dados da saúde indígena,Provisório,2020,161,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,43,Estimado em dados da saúde indígena,Provisório,2020,133,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,44,Estimado em dados da saúde indígena,Provisório,2020,127,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,45,Estimado em dados da saúde indígena,Provisório,2020,123,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,46,Estimado em dados da saúde indígena,Provisório,2020,126,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,47,Estimado em dados da saúde indígena,Provisório,2020,110,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,48,Estimado em dados da saúde indígena,Provisório,2020,113,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,49,Estimado em dados da saúde indígena,Provisório,2020,128,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,50,Estimado em dados da saúde indígena,Provisório,2020,119,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,51,Estimado em dados da saúde indígena,Provisório,2020,94,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,52,Estimado em dados da saúde indígena,Provisório,2020,88,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,53,Estimado em dados da saúde indígena,Provisório,2020,81,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,54,Estimado em dados da saúde indígena,Provisório,2020,85,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,55,Estimado em dados da saúde indígena,Provisório,2020,94,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,56,Estimado em dados da saúde indígena,Provisório,2020,94,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,57,Estimado em dados da saúde indígena,Provisório,2020,65,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,58,Estimado em dados da saúde indígena,Provisório,2020,54,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,59,Estimado em dados da saúde indígena,Provisório,2020,71,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,60,Estimado em dados da saúde indígena,Provisório,2020,65,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,61,Estimado em dados da saúde indígena,Provisório,2020,73,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,62,Estimado em dados da saúde indígena,Provisório,2020,62,
